skill_id	skill_name	l4_name	l3_name	l2_name	l1_name	archetype	platform_fit	tech_total	decision_density	financial_gravity	impact_proximity	confidence_signal	adoption_total	value_density	simulation_viability	value_total	composite	confidence	promotes_to_sim	is_cross_functional
13cc2f-6d7744	New Model Launch Volume Orchestration	New Model Launch Volume Planning	Demand Forecasting & Analysis	Production Planning & Scheduling	Plan	AGENTIC	3	3	3	3	3	3	12	3	3	6	0.99	HIGH	Y	N
9cc360-cbeb26	Dynamic Production Sequencing	Production Sequence Optimization	Master Production Scheduling (MPS)	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.99	HIGH	Y	N
0edcd0-f407c9	Long-Range Production Synchronization	Long-Range Production Plan Development	Master Production Scheduling (MPS)	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.99	HIGH	Y	N
c35ec9-a1a4dd	Automated BOM Reliability Optimization	Daily Production Schedule Release	Production Schedule Execution & Monitoring	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.99	HIGH	Y	N
311fb6-e91639	S&OP Cycle Automation	Sales & Operations Planning (S&OP) Cycle Management	Production Planning Governance & Strategy	Production Planning & Scheduling	Plan	AGENTIC	3	3	3	3	3	3	12	3	3	6	0.99	HIGH	Y	N
6735ac-fc143c	Demand Drivers Analysis & Actioning	Regression Analysis for Demand Drivers	Statistical Demand Modeling & Analytics	Demand Forecasting & Sensing	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.99	HIGH	Y	N
ddcf2c-8e813d	Autonomous MRP Supplier Release	Supplier Release Generation & Transmission	Material Requirements Planning (MRP) Integration	Production Planning & Scheduling	Plan	AGENTIC	3	3	3	3	3	3	12	3	3	6	0.99	HIGH	Y	N
d6f202-068baf	Automated Dealer Order Allocation	Dealer Order Allocation & Prioritization	Master Production Scheduling (MPS)	Production Planning & Scheduling	Plan	AGENTIC	3	3	3	3	3	3	12	3	3	6	0.99	HIGH	Y	N
9a525a-cf1480	Schedule Recovery & Contingency Actions	Schedule Recovery Planning	Constraint & Exception Management	Production Planning & Scheduling	Plan	AGENTIC	3	3	3	3	3	3	12	3	3	6	0.99	HIGH	Y	N
084434-ecd37f	ML-Driven Forecast Error Reduction	Machine Learning Model Deployment for Prediction	Statistical Demand Modeling & Analytics	Demand Forecasting & Sensing	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.99	HIGH	Y	N
b00030-ff5738	Real-Time Demand Forecasting Optimization	Time Series Forecasting Model Development	Statistical Demand Modeling & Analytics	Demand Forecasting & Sensing	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.98	HIGH	Y	N
b4d954-4e6af1	Engine Block Machining Optimization	Engine Block Machining Operations	Core Machining & Component Fabrication	Powertrain Manufacturing (Engine & Transmission)	Make	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.98	HIGH	Y	N
79ff4d-c8b1fb	AGENTIC Parts Shortage Mitigation	Parts Shortage Risk Assessment	Material Requirements Planning (MRP) Integration	Production Planning & Scheduling	Plan	AGENTIC	3	3	3	3	3	3	12	3	3	6	0.98	HIGH	Y	N
01d486-8ee417	Automated Kitting & Line Feeding	Kitting & Line Feeding for Battery Production	Raw Material & Component Receipt & Kitting	Electric Vehicle Battery & Drive Unit Production	Make	AGENTIC	3	3	3	3	3	3	12	3	3	6	0.97	HIGH	Y	N
bf0e98-6449e1	Obsolete & Excess Inventory Rebalancing	Obsolete & Excess Inventory Disposition	Warehouse & Inventory Management	Inbound Logistics & Material Flow	Move & Fulfill	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.97	HIGH	Y	N
69e538-10baba	Raw Material Storage Optimization	Raw Material & Component Storage Optimization	Warehouse & Inventory Management	Inbound Logistics & Material Flow	Move & Fulfill	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.97	HIGH	Y	N
e1378e-cc4608	Buffer Inventory Strategy Optimizer	Buffer & Inventory Strategy for Constraint Management	Constraint Identification & Resolution	Capacity Planning & Constraint Management	Plan	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.97	HIGH	Y	N
d3f282-ba13d3	Automated BIW Closure Load Balancing	Closure Panel Mounting & Gapping	Body-In-White (BIW) Assembly Execution	Body Shop & Welding	Make	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.97	HIGH	Y	N
e90f0c-37c5be	Dealer Demand Signal Orchestration	Dealer Network Demand Feedback Collection	Cross-Functional Demand Collaboration	Demand Forecasting & Sensing	Plan	AGENTIC	3	3	3	3	3	2	11	3	3	6	0.97	HIGH	Y	N
34ea50-3580e4	Global Sales Forecast Consolidation	Global Sales Forecast Aggregation	Demand Forecasting & Analysis	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	3	3	3	2	11	3	3	6	0.96	HIGH	Y	N
3f4f21-0f49fb	Changeover Optimization & Coordination	Changeover Planning & Coordination	Production Schedule Execution & Monitoring	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.96	HIGH	Y	N
6aedc4-b22a7f	Container Movement Scheduling	Container Movement Scheduling & Optimization	Returnable Container Logistics & Tracking	Packaging & Returnable Container Management	Move & Fulfill	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.96	HIGH	Y	N
1b38c2-9a8e75	Just-In-Sequence Delivery Orchestration	Just-in-Sequence (JIS) Part Delivery Execution	Line-side Material Delivery	Inbound Logistics & Material Flow	Move & Fulfill	AGENTIC	3	3	2	3	3	3	11	3	3	6	0.96	HIGH	Y	N
48492e-9e97f6	Automated Shop Floor Data Rebalancing	Shop Floor Data Collection & Analysis	Manufacturing Systems & IT Support	Production Support Services	Make	DETERMINISTIC	3	3	3	3	3	2	11	3	3	6	0.96	HIGH	Y	N
vf-4b060a5d	Automated Safety Stock Alignment & S&OP Coordination	Automated Safety Stock Alignment & S&OP Coordination	Cross-Functional: Fulfill + Finance + Plan	Value Flow	Cross-Functional	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.96	HIGH	Y	Y
vf-db1dfbe6	Automated Finished Goods Aging Coordination	Automated Finished Goods Aging Coordination	Cross-Functional: Make + Finance + Sell + Plan	Value Flow	Cross-Functional	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.96	HIGH	Y	Y
fd7e19-e35382	Automated Carrier Onboarding & Routing	New Carrier Onboarding & System Integration	Carrier Performance & Relationship Management	Outbound Vehicle Logistics & Distribution	Move & Fulfill	DETERMINISTIC	3	3	3	3	3	2	11	3	3	6	0.96	HIGH	Y	N
f2b379-3e41d2	Select Optimal Supplier for PPAP Readiness	Control Plan, FMEA, & Process Flow Development & Review	Advanced Product Quality Planning (APQP) & PPAP Management	Supplier Quality Management	Procure Source & Buy	AGENTIC	3	3	3	3	3	2	11	3	3	6	0.96	HIGH	Y	N
1513a6-298c69	Deterministic BOM Requirements Optimization	Component Requirements Calculation	Material Requirements Planning (MRP) Integration	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.92	MEDIUM	Y	N
78dc79-b2c80b	Long-Range Production Alignment	Weekly Build Schedule Finalization	Master Production Scheduling (MPS)	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.91	HIGH	Y	N
ae6392-a4dff0	Autonomous Production Progress Orchestration	Production Progress Tracking & Reporting	Production Schedule Execution & Monitoring	Production Planning & Scheduling	Plan	AGENTIC	3	3	3	3	3	3	12	3	3	6	0.91	MEDIUM	Y	N
22ed5a-7dd3ef	Config Mix Demand Forecasting	Vehicle Configuration Mix Planning	Demand Forecasting & Analysis	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.90	HIGH	Y	N
32b709-3e8f8a	Regional Demand Positioning Optimization	Competitor Sales & Production Monitoring	Market & Economic Intelligence Gathering	Demand Forecasting & Sensing	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.90	HIGH	Y	N
9f40fb-a20a87	Constraint-Aware Ramp-Up Material Optimization	Launch Volume Ramp-Up Planning	New Product Introduction (NPI) Production Planning	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.90	MEDIUM	Y	N
4510cd-60334a	Plant Capacity Modeling & Optimization	Plant & Line Capacity Modeling	Capacity Planning & Optimization	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.90	HIGH	Y	N
476457-7cb428	Production Schedule Resilience Optimization	Production Schedule Adjustment & Impact Analysis	Constraint Identification & Resolution	Sales & Operations Planning (S&OP)	Plan	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.90	MEDIUM	Y	N
dfef84-22b011	EOL Material Substitution Optimization	End-of-Life (EOL) Production Planning	New Product Introduction (NPI) Production Planning	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	3	3	3	2	11	3	3	6	0.89	MEDIUM	Y	N
9247c6-d25f8c	Automated Budget-Throughput Alignment	Budget & Forecasting S&OP Alignment	Financial Integration & Profitability Analysis	Sales & Operations Planning (S&OP)	Plan	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.89	HIGH	Y	N
d8fbd5-19d56e	Critical Component Shortage Orchestration	Critical Component Shortage Escalation	Constraint Identification & Resolution	Sales & Operations Planning (S&OP)	Plan	AGENTIC	3	3	2	3	3	3	11	3	3	6	0.89	MEDIUM	Y	N
ac0032-3eb0bf	Stamping Capacity Utilization Optimization	Daily Stamping Production Schedule Generation	Production Planning & Scheduling (Stamping)	Stamping Operations	Make	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.89	MEDIUM	Y	N
e69f6b-d1aa7c	Waste-Driven Consumable Replenishment Optimization	Consumable & Wear Part Replenishment Forecasting	Service Parts Demand Forecasting	Demand Forecasting & Sensing	Plan	DETERMINISTIC	3	3	3	3	3	2	11	3	3	6	0.89	HIGH	Y	N
