tier	l3_name	l1_name	l2_name	lead_archetype	quick_win	combined_max_value	flag_count	flags
1	Warranty Performance Monitoring & Analytics	Service	Warranty Administration & Claims Management	DETERMINISTIC	Y	78000000	0	
1	Material Handling & Preparation	Make	Stamping Operations	DETERMINISTIC	Y	68000000	0	
1	Service Parts Network Strategy & Optimization	Move & Fulfill	Service Parts Logistics & Distribution	DETERMINISTIC	Y	42000000	0	
1	Service Network Performance & Quality Management	Service	Customer Experience & Service Quality	DETERMINISTIC	Y	42000000	1	CONFIDENCE_GAP
1	Commercial Change Management	Procure Source & Buy	Contract & Commercial Management	DETERMINISTIC	Y	36000000	0	
1	Executive S&OP / IBP Review & Decision Making	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	Y	34000000	0	
1	Body-In-White (BIW) Assembly Execution	Make	Body Shop & Welding	DETERMINISTIC	Y	32000000	0	
1	Dealer Claims Submission & Front-End Validation	Service	Warranty Administration & Claims Management	DETERMINISTIC	Y	32000000	0	
1	Supplier Quality Strategy & Governance	Procure Source & Buy	Supplier Quality Management	DETERMINISTIC	Y	26000000	0	
1	Order to Production Scheduling Integration	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	Y	26000000	0	
1	Supplier Acknowledgment & Communication	Procure Source & Buy	Purchase Order Management & Execution	DETERMINISTIC	Y	25000000	0	
1	Indirect Sourcing Strategy & Planning	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	Y	24000000	0	
1	Customs	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	Y	24000000	1	ORPHAN
1	Packaging Compliance & Sustainability	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	Y	24000000	1	CONFIDENCE_GAP
1	Finished Goods Handling & Dispatch	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	Y	21000000	0	
1	Asset Lifecycle Management & Tracking	Make	Plant Maintenance & Reliability	DETERMINISTIC	Y	21000000	0	
1	Statistical Demand Modeling & Analytics	Plan	Demand Forecasting & Sensing	DETERMINISTIC	Y	19500000	0	
1	New Product Introduction (NPI) Network Readiness	Plan	Supply Network Design & Planning	DETERMINISTIC	Y	18000000	1	CONFIDENCE_GAP
1	Inbound Logistics & Material Handling	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	Y	18000000	0	
1	Finished Powertrain Logistics & Outbound Preparation	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	Y	18000000	0	
1	New Model Launch Quality Readiness	Make	Quality Control & In-Process Inspection	DETERMINISTIC	Y	18000000	0	
1	Strategic Demand Planning & Scenario Modeling	Plan	Demand Forecasting & Sensing	DETERMINISTIC	Y	17600000	0	
1	Procurement Technology & Digitalization	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	Y	17000000	0	
1	Parts Supply Chain & Logistics Coordination	Service	Recall & Field Service Action Management	DETERMINISTIC	Y	17000000	0	
1	Continuous Improvement & Digital Transformation	Plan	Production Planning & Scheduling	DETERMINISTIC	Y	15000000	0	
1	Data & Technology Enablement for IBP	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	Y	14000000	0	
1	Warehouse & Inventory Management	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	Y	14000000	0	
1	Service Parts Master Data & Bill of Material (BOM) Management	Service	Service Parts Planning & Management	DETERMINISTIC	Y	14000000	0	
1	New Product Introduction (NPI) Demand Forecasting	Plan	Demand Forecasting & Sensing	DETERMINISTIC	Y	12000000	0	
1	Demand & Supply Data Integration	Plan	Inventory Planning & Optimization	DETERMINISTIC	Y	11000000	0	
