name	research	build	venture	status	tam	tools	description
job-scam-detector	3	3	6	shipped	3	fetch-job-posting|verify-employer|generate-risk-report	Analyzes job postings for scam red flags, verifies employers, produces risk reports
rental-scam-detector	3	3	6	shipped	3	fetch-rental-listing|verify-rental-listing|write-risk-assessment	Rental listing scam analysis (platform risk, address verification, landlord checks, pricing)
company-briefing-agent	3	3	6	shipped	2	fetch-company-profile|research-reputation|write-briefing	Generates interview prep briefings with company overview, culture, news, talking points
contractor-trust-checker	3	3	6	shipped	2	search-contractor|verify-contractor|write-contractor-report	Pre-hire contractor due diligence (license, BBB, reviews, complaints, insurance)
dep-changelog-summarizer	3	3	6	shipped	1	scan-dependencies|fetch-changelogs|write-update-report	Reads package.json, fetches changelogs, summarizes breaking changes with urgency levels
repo-health-scanner	3	3	6	shipped	1	fetch-repo-info|analyze-community|write-health-report	Evaluates GitHub repo health (docs, maintenance, community) and produces graded report
npm-trust-checker	3	3	6	shipped	1	check-npm-registry|assess-package-security|write-trust-report	Pre-install npm package trust assessment (CVEs, malware, repo health, typosquatting)
bootcamp-evaluator	3	3	6	shipped	1	search-bootcamp|evaluate-bootcamp|write-evaluation-report	Pre-enrollment bootcamp/course evaluation (reviews, outcomes, complaints, accreditation)
haunted-domain-checker	3	3	6	shipped	0	fetch-domain-info|check-domain-reputation|write-domain-report	Pre-purchase domain reputation audit (RDAP, Wayback, blacklists, malware, email rep)
freelancer-deduction-finder	3	3	6	shipped	3	search-deductions|analyze-expenses|write-deduction-report	Helps freelancers discover tax deductions they may be missing — no bank connection required
regulatory-compliance-briefing	3	3	6	shipped	3	search-regulations|fetch-regulatory-details|write-compliance-briefing	Personalized regulatory compliance briefings for small businesses by type, state, and size
property-tax-appeal-advisor	3	3	6	shipped	3	search-comparable-sales|analyze-assessment|write-appeal-report	Helps homeowners determine if overassessed, find comps, and generate appeal guides with draft letters
wage-rights-advisor	3	3	6	shipped	4	analyze-employment|search-wage-laws|calculate-owed-wages|write-wage-report	Helps workers determine FLSA exempt/non-exempt status, find state wage laws, calculate owed overtime, and file complaints
data-broker-opt-out	3	3	6	shipped	4	assess-exposure|search-data-brokers|write-removal-plan	Personalized data broker opt-out plans — replaces $8+/month services like DeleteMe and Incogni
consumer-complaint-advisor	3	3	6	shipped	4	analyze-complaint|search-consumer-rights|research-company-complaints|write-resolution-plan	Helps consumers fight back — routes to right agencies, drafts complaint letters, researches company history, provides escalation strategy
flight-rights-advisor	3	3	6	shipped	4	analyze-flight-disruption|search-airline-rights|research-airline-record|write-claim-plan	Helps airline passengers claim compensation for disruptions — analyzes regulations (US DOT, EU261, APPR), researches airline record, generates claim plans with letters and filing instructions
debt-collection-rights-advisor	3	3	6	shipped	4	analyze-debt-situation|search-debt-collection-laws|research-collector-record|write-dispute-letter	Helps consumers fight debt collectors — identifies FDCPA violations, checks statute of limitations, researches collector record, generates dispute letters and defense strategy
immigration-form-navigator	3	3	6	shipped	4	analyze-immigration-situation|search-immigration-requirements|check-visa-bulletin|write-filing-guide	Helps people navigate USCIS forms — determines which forms to file, checks eligibility, flags common mistakes, generates personalized filing guides
disability-accommodation-advisor	3	3	6	shipped	4	analyze-accommodation-needs|search-accommodation-laws|search-accommodation-examples|write-accommodation-request	Helps people with disabilities navigate ADA/504/FHA accommodation requests — analyzes rights, suggests accommodations, generates request letters and escalation plans
tenant-dispute-advisor	3	3	6	shipped	4	analyze-tenant-dispute|search-tenant-rights|research-landlord-record|write-tenant-action-plan	Helps renters diagnose landlord disputes, research state-specific tenant rights, investigate landlord history, and generate action plans with demand letters
student-loan-forgiveness-navigator	3	3	6	shipped	4	analyze-loan-situation|search-forgiveness-programs|check-repayment-options|write-forgiveness-guide	Helps borrowers navigate PSLF, IDR forgiveness, SAVE, Teacher, Borrower Defense — analyzes eligibility, compares plans, generates application guides
digital-estate-planning-advisor	3	3	6	shipped	4	analyze-digital-estate|search-platform-policies|search-estate-laws|write-estate-plan	Helps people create digital estate plans — inventories accounts, researches platform legacy policies, generates comprehensive plans with legal templates
