l3_name	l1_name	l2_name	composite	archetype	confidence	verdict	implementation_readiness_score	groundedness_score	integration_confidence_score	ambiguity_risk_score	reasons
New Product Introduction (NPI) Network Readiness	Plan	Supply Network Design & Planning	0.63	DETERMINISTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.
Stamping Supplier & Outsource Management	Make	Stamping Operations	0.74	AGENTIC	HIGH	ADVANCE	91	80	100	10	Scenario is grounded, integration-aware, and implementation-ready.
Returnable Packaging Management	Move & Fulfill	Inbound Logistics & Material Flow	0.70	DETERMINISTIC	HIGH	ADVANCE	91	80	100	10	Scenario is grounded, integration-aware, and implementation-ready.
Supply Planning & Production Scheduling	Plan	Integrated Business Planning (IBP)	0.62	DETERMINISTIC	HIGH	ADVANCE	91	80	100	10	Scenario is grounded, integration-aware, and implementation-ready.
Supplier Capacity Management	Plan	Capacity Planning & Constraint Management	0.61	DETERMINISTIC	HIGH	ADVANCE	91	80	100	10	Scenario is grounded, integration-aware, and implementation-ready.
Demand Signal Sensing & Adjustment	Plan	Demand Forecasting & Sensing	0.60	DETERMINISTIC	HIGH	ADVANCE	91	80	100	10	Scenario is grounded, integration-aware, and implementation-ready.
New Product Introduction (NPI) Production Planning	Plan	Production Planning & Scheduling	0.74	DETERMINISTIC	HIGH	ADVANCE	89	75	100	13	Scenario is grounded, integration-aware, and implementation-ready.
Vehicle & Part Order Allocation	Move & Fulfill	Order Management & Fulfillment	0.72	DETERMINISTIC	HIGH	ADVANCE	89	75	100	13	Scenario is grounded, integration-aware, and implementation-ready.
Request for Quote (RFQ) & Bid Management	Procure Source & Buy	Strategic Sourcing & Supplier Selection	0.70	DETERMINISTIC	HIGH	ADVANCE	89	75	100	13	Scenario is grounded, integration-aware, and implementation-ready.
New Product Introduction (NPI) Demand Forecasting	Plan	Demand Forecasting & Sensing	0.69	DETERMINISTIC	HIGH	ADVANCE	89	75	100	13	Scenario is grounded, integration-aware, and implementation-ready.
Material Flow & In-Plant Logistics	Make	Trim Chassis & Final Assembly	0.65	DETERMINISTIC	HIGH	ADVANCE	89	75	100	13	Scenario is grounded, integration-aware, and implementation-ready.
Production Planning & Material Flow Management	Make	Electric Vehicle Battery & Drive Unit Production	0.64	DETERMINISTIC	HIGH	ADVANCE	89	75	100	13	Scenario is grounded, integration-aware, and implementation-ready.
Service Parts Master Data & Bill of Material (BOM) Management	Service	Service Parts Planning & Management	0.63	DETERMINISTIC	HIGH	ADVANCE	89	75	100	13	Scenario is grounded, integration-aware, and implementation-ready.
Line-side Material Delivery	Move & Fulfill	Inbound Logistics & Material Flow	0.81	DETERMINISTIC	HIGH	ADVANCE	87	71	100	14	Scenario is grounded, integration-aware, and implementation-ready.
Exception & Non-Conformance Management	Make	Trim Chassis & Final Assembly	0.70	DETERMINISTIC	HIGH	ADVANCE	87	71	100	14	Scenario is grounded, integration-aware, and implementation-ready.
Production Quality Control & Assurance	Make	Production Support Services	0.70	DETERMINISTIC	HIGH	ADVANCE	87	71	100	14	Scenario is grounded, integration-aware, and implementation-ready.
Parts Supply Chain & Logistics Coordination	Service	Recall & Field Service Action Management	0.68	DETERMINISTIC	HIGH	ADVANCE	87	71	100	14	Scenario is grounded, integration-aware, and implementation-ready.
OTA Software Deployment & Management	Service	Connected Vehicle Services & OTA Updates	0.67	AGENTIC	HIGH	ADVANCE	87	71	100	14	Scenario is grounded, integration-aware, and implementation-ready.
