skill_id	skill_name	l4_name	l1_name	l2_name	composite	archetype	confidence	verdict	implementation_readiness_score	groundedness_score	integration_confidence_score	ambiguity_risk_score	reasons	is_cross_functional
vf-db1dfbe6	Automated Finished Goods Aging Coordination	Automated Finished Goods Aging Coordination	Cross-Functional	Value Flow	0.96	DETERMINISTIC	HIGH	ADVANCE	94	86	100	7	Scenario is grounded, integration-aware, and implementation-ready.	Y
13cc2f-6d7744	New Model Launch Volume Orchestration	New Model Launch Volume Planning	Plan	Production Planning & Scheduling	0.99	AGENTIC	HIGH	ADVANCE	93	100	85	22	Scenario is grounded, integration-aware, and implementation-ready.	N
69e538-10baba	Raw Material Storage Optimization	Raw Material & Component Storage Optimization	Move & Fulfill	Inbound Logistics & Material Flow	0.97	DETERMINISTIC	HIGH	ADVANCE	93	100	87	20	Scenario is grounded, integration-aware, and implementation-ready.	N
e1378e-cc4608	Buffer Inventory Strategy Optimizer	Buffer & Inventory Strategy for Constraint Management	Plan	Capacity Planning & Constraint Management	0.97	DETERMINISTIC	HIGH	ADVANCE	93	100	87	20	Scenario is grounded, integration-aware, and implementation-ready.	N
3f4f21-0f49fb	Changeover Optimization & Coordination	Changeover Planning & Coordination	Plan	Production Planning & Scheduling	0.96	DETERMINISTIC	HIGH	ADVANCE	93	100	87	20	Scenario is grounded, integration-aware, and implementation-ready.	N
22ed5a-7dd3ef	Config Mix Demand Forecasting	Vehicle Configuration Mix Planning	Plan	Production Planning & Scheduling	0.90	DETERMINISTIC	HIGH	ADVANCE	93	100	85	22	Scenario is grounded, integration-aware, and implementation-ready.	N
4510cd-60334a	Plant Capacity Modeling & Optimization	Plant & Line Capacity Modeling	Plan	Production Planning & Scheduling	0.90	DETERMINISTIC	HIGH	ADVANCE	93	100	87	20	Scenario is grounded, integration-aware, and implementation-ready.	N
476457-7cb428	Production Schedule Resilience Optimization	Production Schedule Adjustment & Impact Analysis	Plan	Sales & Operations Planning (S&OP)	0.90	DETERMINISTIC	MEDIUM	ADVANCE	93	100	85	22	Scenario is grounded, integration-aware, and implementation-ready.	N
dfef84-22b011	EOL Material Substitution Optimization	End-of-Life (EOL) Production Planning	Plan	Production Planning & Scheduling	0.89	DETERMINISTIC	MEDIUM	ADVANCE	93	100	87	20	Scenario is grounded, integration-aware, and implementation-ready.	N
9247c6-d25f8c	Automated Budget-Throughput Alignment	Budget & Forecasting S&OP Alignment	Plan	Sales & Operations Planning (S&OP)	0.89	DETERMINISTIC	HIGH	ADVANCE	93	100	87	20	Scenario is grounded, integration-aware, and implementation-ready.	N
d8fbd5-19d56e	Critical Component Shortage Orchestration	Critical Component Shortage Escalation	Plan	Sales & Operations Planning (S&OP)	0.89	AGENTIC	MEDIUM	ADVANCE	93	100	85	22	Scenario is grounded, integration-aware, and implementation-ready.	N
62e2cc-e667ea	Just-in-Sequence Line Delivery	Production Line Kit Building & Sequencing	Move & Fulfill	Inbound Logistics & Material Flow	0.89	AGENTIC	HIGH	ADVANCE	93	100	85	22	Scenario is grounded, integration-aware, and implementation-ready.	N
95b037-ba8660	Empty Container Return Loop Optimization	Empty Container Return Loop Management	Move & Fulfill	Packaging & Returnable Container Management	0.89	DETERMINISTIC	MEDIUM	ADVANCE	93	100	87	20	Scenario is grounded, integration-aware, and implementation-ready.	N
vf-eaa34439	Automated Channel Margin Coherence & Price-Protection Orchestration	Automated Channel Margin Coherence & Price-Protection Orchestration	Cross-Functional	Value Flow	0.88	DETERMINISTIC	HIGH	ADVANCE	93	100	85	22	Scenario is grounded, integration-aware, and implementation-ready.	Y
b4d954-4e6af1	Engine Block Machining Optimization	Engine Block Machining Operations	Make	Powertrain Manufacturing (Engine & Transmission)	0.98	DETERMINISTIC	HIGH	ADVANCE	92	100	84	24	Scenario is grounded, integration-aware, and implementation-ready.	N
e90f0c-37c5be	Dealer Demand Signal Orchestration	Dealer Network Demand Feedback Collection	Plan	Demand Forecasting & Sensing	0.97	AGENTIC	HIGH	ADVANCE	92	100	84	24	Scenario is grounded, integration-aware, and implementation-ready.	N
48492e-9e97f6	Automated Shop Floor Data Rebalancing	Shop Floor Data Collection & Analysis	Make	Production Support Services	0.96	DETERMINISTIC	HIGH	ADVANCE	92	100	84	24	Scenario is grounded, integration-aware, and implementation-ready.	N
1513a6-298c69	Deterministic BOM Requirements Optimization	Component Requirements Calculation	Plan	Production Planning & Scheduling	0.92	DETERMINISTIC	MEDIUM	ADVANCE	92	83	100	8	Scenario is grounded, integration-aware, and implementation-ready.	N
32b709-3e8f8a	Regional Demand Positioning Optimization	Competitor Sales & Production Monitoring	Plan	Demand Forecasting & Sensing	0.90	DETERMINISTIC	HIGH	ADVANCE	92	100	84	24	Scenario is grounded, integration-aware, and implementation-ready.	N
40b06a-3d6742	Optimize Capacity-Constrained Production	Bottleneck Identification & Resolution	Plan	Production Planning & Scheduling	0.73	DETERMINISTIC	MEDIUM	ADVANCE	92	100	84	24	Scenario is grounded, integration-aware, and implementation-ready.	N
