rank	l4_id	l4_name	l3_name	l2_name	l1_name	financial_signal	ai_suitability	decision_density	impact_order	rating_confidence	archetype_completeness	composite	survived	elimination_reason	red_flags	skill_count	aggregated_max_value
1	13cc2f24ad77	New Model Launch Volume Planning	Demand Forecasting & Analysis	Production Planning & Scheduling	Plan	1.0000	1.0000	1.0000	1.0000	1.0000	0.9286	0.9857	Y			4	18900000
2	9cc360cf58b5	Production Sequence Optimization	Master Production Scheduling (MPS)	Production Planning & Scheduling	Plan	1.0000	1.0000	1.0000	1.0000	1.0000	0.9048	0.9810	Y			3	46100000
3	1513a621abb5	Component Requirements Calculation	Material Requirements Planning (MRP) Integration	Production Planning & Scheduling	Plan	1.0000	1.0000	1.0000	1.0000	1.0000	0.9048	0.9810	Y			3	45000000
4	0edcd0f9aad4	Long-Range Production Plan Development	Master Production Scheduling (MPS)	Production Planning & Scheduling	Plan	1.0000	1.0000	0.9500	1.0000	1.0000	0.9524	0.9805	Y			3	38000000
5	c35ec9181ec1	Daily Production Schedule Release	Production Schedule Execution & Monitoring	Production Planning & Scheduling	Plan	1.0000	1.0000	1.0000	1.0000	1.0000	0.8929	0.9786	Y			4	23250000
6	78dc79b7f2cb	Weekly Build Schedule Finalization	Master Production Scheduling (MPS)	Production Planning & Scheduling	Plan	1.0000	1.0000	0.9250	1.0000	1.0000	0.9524	0.9755	Y			3	9500000
7	311fb6db63c9	Sales & Operations Planning (S&OP) Cycle Management	Production Planning Governance & Strategy	Production Planning & Scheduling	Plan	1.0000	1.0000	1.0000	1.0000	1.0000	0.8571	0.9714	Y			3	143358000
8	6735acccecf2	Regression Analysis for Demand Drivers	Statistical Demand Modeling & Analytics	Demand Forecasting & Sensing	Plan	1.0000	1.0000	1.0000	1.0000	1.0000	0.8571	0.9714	Y			4	133358000
9	ddcf2c0bb4f9	Supplier Release Generation & Transmission	Material Requirements Planning (MRP) Integration	Production Planning & Scheduling	Plan	1.0000	1.0000	1.0000	1.0000	1.0000	0.8571	0.9714	Y			3	83000000
10	d6f2024ca90f	Dealer Order Allocation & Prioritization	Master Production Scheduling (MPS)	Production Planning & Scheduling	Plan	1.0000	1.0000	1.0000	1.0000	1.0000	0.8571	0.9714	Y			3	79600000
11	9a525abac897	Schedule Recovery Planning	Constraint & Exception Management	Production Planning & Scheduling	Plan	1.0000	1.0000	1.0000	1.0000	1.0000	0.8571	0.9714	Y			4	42200000
