skill_id	skill_name	l4_name	verdict	groundedness_score	integration_confidence_score	ambiguity_risk_score	implementation_readiness_score	reasons	is_cross_functional
vf-db1dfbe6	Automated Finished Goods Aging Coordination	Automated Finished Goods Aging Coordination	ADVANCE	86	100	7	94	Scenario is grounded, integration-aware, and implementation-ready.	Y
13cc2f-6d7744	New Model Launch Volume Orchestration	New Model Launch Volume Planning	ADVANCE	100	85	22	93	Scenario is grounded, integration-aware, and implementation-ready.	N
69e538-10baba	Raw Material Storage Optimization	Raw Material & Component Storage Optimization	ADVANCE	100	87	20	93	Scenario is grounded, integration-aware, and implementation-ready.	N
e1378e-cc4608	Buffer Inventory Strategy Optimizer	Buffer & Inventory Strategy for Constraint Management	ADVANCE	100	87	20	93	Scenario is grounded, integration-aware, and implementation-ready.	N
3f4f21-0f49fb	Changeover Optimization & Coordination	Changeover Planning & Coordination	ADVANCE	100	87	20	93	Scenario is grounded, integration-aware, and implementation-ready.	N
22ed5a-7dd3ef	Config Mix Demand Forecasting	Vehicle Configuration Mix Planning	ADVANCE	100	85	22	93	Scenario is grounded, integration-aware, and implementation-ready.	N
4510cd-60334a	Plant Capacity Modeling & Optimization	Plant & Line Capacity Modeling	ADVANCE	100	87	20	93	Scenario is grounded, integration-aware, and implementation-ready.	N
476457-7cb428	Production Schedule Resilience Optimization	Production Schedule Adjustment & Impact Analysis	ADVANCE	100	85	22	93	Scenario is grounded, integration-aware, and implementation-ready.	N
dfef84-22b011	EOL Material Substitution Optimization	End-of-Life (EOL) Production Planning	ADVANCE	100	87	20	93	Scenario is grounded, integration-aware, and implementation-ready.	N
9247c6-d25f8c	Automated Budget-Throughput Alignment	Budget & Forecasting S&OP Alignment	ADVANCE	100	87	20	93	Scenario is grounded, integration-aware, and implementation-ready.	N
d8fbd5-19d56e	Critical Component Shortage Orchestration	Critical Component Shortage Escalation	ADVANCE	100	85	22	93	Scenario is grounded, integration-aware, and implementation-ready.	N
62e2cc-e667ea	Just-in-Sequence Line Delivery	Production Line Kit Building & Sequencing	ADVANCE	100	85	22	93	Scenario is grounded, integration-aware, and implementation-ready.	N
95b037-ba8660	Empty Container Return Loop Optimization	Empty Container Return Loop Management	ADVANCE	100	87	20	93	Scenario is grounded, integration-aware, and implementation-ready.	N
vf-eaa34439	Automated Channel Margin Coherence & Price-Protection Orchestration	Automated Channel Margin Coherence & Price-Protection Orchestration	ADVANCE	100	85	22	93	Scenario is grounded, integration-aware, and implementation-ready.	Y
b4d954-4e6af1	Engine Block Machining Optimization	Engine Block Machining Operations	ADVANCE	100	84	24	92	Scenario is grounded, integration-aware, and implementation-ready.	N
e90f0c-37c5be	Dealer Demand Signal Orchestration	Dealer Network Demand Feedback Collection	ADVANCE	100	84	24	92	Scenario is grounded, integration-aware, and implementation-ready.	N
48492e-9e97f6	Automated Shop Floor Data Rebalancing	Shop Floor Data Collection & Analysis	ADVANCE	100	84	24	92	Scenario is grounded, integration-aware, and implementation-ready.	N
1513a6-298c69	Deterministic BOM Requirements Optimization	Component Requirements Calculation	ADVANCE	83	100	8	92	Scenario is grounded, integration-aware, and implementation-ready.	N
32b709-3e8f8a	Regional Demand Positioning Optimization	Competitor Sales & Production Monitoring	ADVANCE	100	84	24	92	Scenario is grounded, integration-aware, and implementation-ready.	N
40b06a-3d6742	Optimize Capacity-Constrained Production	Bottleneck Identification & Resolution	ADVANCE	100	84	24	92	Scenario is grounded, integration-aware, and implementation-ready.	N
ddcf2c-8e813d	Autonomous MRP Supplier Release	Supplier Release Generation & Transmission	ADVANCE	86	87	27	87	Scenario is grounded, integration-aware, and implementation-ready.	N
ae6392-a4dff0	Autonomous Production Progress Orchestration	Production Progress Tracking & Reporting	ADVANCE	86	87	27	87	Scenario is grounded, integration-aware, and implementation-ready.	N
e69f6b-d1aa7c	Waste-Driven Consumable Replenishment Optimization	Consumable & Wear Part Replenishment Forecasting	ADVANCE	86	87	27	87	Scenario is grounded, integration-aware, and implementation-ready.	N
9cc360-cbeb26	Dynamic Production Sequencing	Production Sequence Optimization	ADVANCE	83	87	28	86	Scenario is grounded, integration-aware, and implementation-ready.	N
d6f202-068baf	Automated Dealer Order Allocation	Dealer Order Allocation & Prioritization	ADVANCE	86	85	30	86	Scenario is grounded, integration-aware, and implementation-ready.	N
084434-ecd37f	ML-Driven Forecast Error Reduction	Machine Learning Model Deployment for Prediction	ADVANCE	83	87	28	86	Scenario is grounded, integration-aware, and implementation-ready.	N
vf-fb11bcdc	Automated Demand-Capacity Alignment for Order Promising	Automated Demand-Capacity Alignment for Order Promising	ADVANCE	83	87	28	86	Scenario is grounded, integration-aware, and implementation-ready.	Y
311fb6-e91639	S&OP Cycle Automation	Sales & Operations Planning (S&OP) Cycle Management	ADVANCE	83	85	31	85	Scenario is grounded, integration-aware, and implementation-ready.	N
34ea50-3580e4	Global Sales Forecast Consolidation	Global Sales Forecast Aggregation	ADVANCE	83	85	31	85	Scenario is grounded, integration-aware, and implementation-ready.	N
1b38c2-9a8e75	Just-In-Sequence Delivery Orchestration	Just-in-Sequence (JIS) Part Delivery Execution	ADVANCE	83	85	31	85	Scenario is grounded, integration-aware, and implementation-ready.	N
78dc79-b2c80b	Long-Range Production Alignment	Weekly Build Schedule Finalization	ADVANCE	83	85	31	85	Scenario is grounded, integration-aware, and implementation-ready.	N
