tier	l3_name	opportunity_name	l1_name	l2_name	lead_archetype	quick_win	combined_max_value	flag_count	flags
1	Warranty Performance Monitoring & Analytics	Autonomous Warranty Cost Optimization & Early Warning Engine	Service	Warranty Administration & Claims Management	DETERMINISTIC	Y	78000000	0	
1	Material Handling & Preparation	End-to-End Material Handling Optimization for Automotive Platform Turbine	Make	Stamping Operations	DETERMINISTIC	Y	68000000	0	
1	Service Parts Network Strategy & Optimization	Autonomous Service Parts Network & Transportation Optimization Engine	Move & Fulfill	Service Parts Logistics & Distribution	DETERMINISTIC	Y	42000000	0	
1	Service Network Performance & Quality Management	Autonomous Service Network Performance Optimization & Dealer Enablement	Service	Customer Experience & Service Quality	DETERMINISTIC	Y	42000000	1	CONFIDENCE_GAP
1	Commercial Change Management	Autonomous Commercial Change Engine for Automotive Platform Optimization	Procure Source & Buy	Contract & Commercial Management	DETERMINISTIC	Y	36000000	0	
1	Executive S&OP / IBP Review & Decision Making	Autonomous S&OP Orchestrator for Ford IBP Playbook	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	Y	34000000	0	
1	Body-In-White (BIW) Assembly Execution	Autonomous BIW Synchronous Scheduling & Replenishment Engine	Make	Body Shop & Welding	DETERMINISTIC	Y	32000000	0	
1	Dealer Claims Submission & Front-End Validation	Autonomous Dealer Claims Intake & Validation Engine	Service	Warranty Administration & Claims Management	DETERMINISTIC	Y	32000000	0	
1	Supplier Quality Strategy & Governance	Autonomous Supplier Quality Governance & Compliance Engine	Procure Source & Buy	Supplier Quality Management	DETERMINISTIC	Y	26000000	0	
1	Order to Production Scheduling Integration	Autonomous Order-to-Production Orchestration Engine	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	Y	26000000	0	
1	Supplier Acknowledgment & Communication	Autonomous Supplier Acknowledgment & PO Sync Orchestration	Procure Source & Buy	Purchase Order Management & Execution	DETERMINISTIC	Y	25000000	0	
1	Indirect Sourcing Strategy & Planning	Autonomous Indirect Sourcing Decision Engine for COGS and Working Capital	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	Y	24000000	0	
1	Customs	Autonomous Customs Compliance and Trade Optimization	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	Y	24000000	1	ORPHAN
1	Packaging Compliance & Sustainability	Autonomous Packaging Compliance & Sustainability Optimizer	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	Y	24000000	1	CONFIDENCE_GAP
1	Finished Goods Handling & Dispatch	Autonomous Finished Goods Handling & Dispatch Engine	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	Y	21000000	0	
1	Asset Lifecycle Management & Tracking	Autonomous Asset Lifecycle Optimizer for Automotive Asset Utilization	Make	Plant Maintenance & Reliability	DETERMINISTIC	Y	21000000	0	
1	Statistical Demand Modeling & Analytics	Autonomous Demand Modeling & Integrated Forecast Optimization for Automotive Supply Network	Plan	Demand Forecasting & Sensing	DETERMINISTIC	Y	19500000	0	
1	New Product Introduction (NPI) Network Readiness	Autonomous NPI Network Readiness Engine	Plan	Supply Network Design & Planning	DETERMINISTIC	Y	18000000	1	CONFIDENCE_GAP
1	Inbound Logistics & Material Handling	Autonomous Inbound Logistics Optimization for Ford: End-to-End Material Receiving, Storage, and Kitting	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	Y	18000000	0	
1	Finished Powertrain Logistics & Outbound Preparation	Autonomous Finished Powertrain Logistics Optimizer	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	Y	18000000	0	
1	New Model Launch Quality Readiness	Autonomous New Model Launch Quality Readiness Engine	Make	Quality Control & In-Process Inspection	DETERMINISTIC	Y	18000000	0	
1	Strategic Demand Planning & Scenario Modeling	Autonomous Strategic Demand & Scenario Engine for Automotive Portfolio	Plan	Demand Forecasting & Sensing	DETERMINISTIC	Y	17600000	0	
1	Procurement Technology & Digitalization	Autonomous, Integrated Procurement Digitalization Engine	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	Y	17000000	0	
1	Parts Supply Chain & Logistics Coordination	Autonomous Parts Supply Chain Orchestrator for Automotive MRO and Production	Service	Recall & Field Service Action Management	DETERMINISTIC	Y	17000000	0	
1	Continuous Improvement & Digital Transformation	End-to-End Planning Modernization & AI-Driven Scheduling Engine	Plan	Production Planning & Scheduling	DETERMINISTIC	Y	15000000	0	
1	Data & Technology Enablement for IBP	 autonomous IBP Data & Interoperability Engine for Ford IBP	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	Y	14000000	0	
1	Warehouse & Inventory Management	Autonomous Multi-Echelon Inventory & Slotting Optimization	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	Y	14000000	0	
1	Service Parts Master Data & Bill of Material (BOM) Management	Autonomous BOM & Master Data Orchestration for Service Parts	Service	Service Parts Planning & Management	DETERMINISTIC	Y	14000000	0	
1	New Product Introduction (NPI) Demand Forecasting	Autonomous NPI Demand Orchestration for New Vehicle Programs	Plan	Demand Forecasting & Sensing	DETERMINISTIC	Y	12000000	0	
1	Demand & Supply Data Integration	Autonomous Demand-Supply Data Integration & Orchestration Engine	Plan	Inventory Planning & Optimization	DETERMINISTIC	Y	11000000	0	
1	Environmental	Autonomous Environmental Health & Safety Compliance Engine for Automotive VIN/Component Lifecycle	Make	Production Support Services	DETERMINISTIC	Y	10000000	2	ORPHAN; CONFIDENCE_GAP
