skill_id	skill_name	l4_name	verdict	groundedness_score	integration_confidence_score	ambiguity_risk_score	implementation_readiness_score	reasons	is_cross_functional
78a1fd-82a38d	DRP Adjustment Orchestration	Drp Adjustment And Str Release	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
75eea5-f8ee76	Drp Results Optimization	Create Drp Planned Volumes	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
8e0064-8c4807	Safety Stock Sensitivity Optimizer	Analyse Impact of Change In Safety Stock	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
a2ea0f-d24887	Risk-Based Inventory Coverage	Identify Potential Risks	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
d98747-dba8a9	Optimize Category Innovation Profit	Analyse & Validate Innovation Initiatives	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
5f0a16-5f2dd9	Automated Spot Buy Negotiation Routing	Manage Negotiations	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
8c7c47-62a922	Collaborative Supplier Agreement orchestrator	form Collaboration Agreement With Suppliers	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
f3e078-248660	Evaluate Data Significance for SD Drivers	Assess Data	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
vf-5100d701	Automated Channel Margin Coordination	Automated Channel Margin Coordination	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	Y
753011-a1a0d9	Portfolio Slow-Moving SKU Reinvestment	Review Slow Moving SKU	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
285e9d-818c28	Supplier Conflict-Resolution Optimizer	Manage Supply Exceptions	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
a2e25c-cfa20e	Supplier Call-Off Consolidation	Adjust Purchase Orders	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
bf56cc-add07a	Autonomous Planning Data Review	Suggest And Monitor Changes	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
597355-2738c6	Understand Demand & Spend Initiatives	Understand Business Goals & Current Plans	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
872000-2fc5ce	Automated LSP Performance Optimization	Monitor & Report Supplier Performance	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
7b3540-fec1ff	Optimize Demand Segmentation	Assess Data for Segmentation	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.	N
cf-820d2938	Cross-Domain Demand-Driven Sequencing	Cross-Domain Demand-Driven Sequencing	ADVANCE	100	98	4	99	Scenario is grounded, integration-aware, and implementation-ready.	Y
cf-e6d602b4	Automated Demand-Supply Scenario Coordination	Automated Demand-Supply Scenario Coordination	ADVANCE	100	97	4	99	Scenario is grounded, integration-aware, and implementation-ready.	Y
f22996-27b49f	Automated Tactical Sourcing Allocation	Conduct Tactical Sourcing Event	ADVANCE	100	94	9	97	Scenario is grounded, integration-aware, and implementation-ready.	N
3c579c-f28159	Agile Strategic Sourcing Orchestrator	Conduct Rfx, Rfp Or Auction	ADVANCE	100	92	12	96	Scenario is grounded, integration-aware, and implementation-ready.	N
7484ce-4ab000	Product Classification Optimization	Classify Products	ADVANCE	100	92	12	96	Scenario is grounded, integration-aware, and implementation-ready.	N
