l3_name	opportunity_name	l1_name	l2_name	archetype	data_readiness	platform_fit	archetype_conf	tech_total	decision_density	financial_gravity	impact_proximity	confidence_signal	adoption_total	value_density	simulation_viability	value_total	composite	confidence	promotes_to_sim
Warehouse & Inventory Management	Autonomous Multi-Echelon Inventory & Slotting Optimization	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	3	3	3	9	3	3	3	3	12	1	2	3	0.88	HIGH	Y
Demand Forecasting & Analysis	Autonomous Demand-Driven Volume & Mix Orchestration Engine	Plan	Production Planning & Scheduling	DETERMINISTIC	3	3	3	9	3	3	3	2	11	2	2	4	0.88	HIGH	Y
Material Requirements Planning (MRP) Integration	Autonomous MRP-Driven Production & Supply Alignment Engine	Plan	Production Planning & Scheduling	DETERMINISTIC	3	3	3	9	3	3	3	3	12	0	3	3	0.88	HIGH	Y
Inbound Receiving & Putaway	Autonomous Inbound Receiving & Putaway Optimizer	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	3	3	3	9	3	3	3	2	11	1	2	3	0.84	HIGH	Y
Multi-Echelon Inventory Optimization	Autonomous Multi-Echelon Inventory Optimization Engine	Plan	Inventory Planning & Optimization	DETERMINISTIC	3	3	3	9	3	2	3	2	10	2	2	4	0.84	HIGH	Y
Production Planning & Control	Autonomous Production Planning & Replenishment Engine	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	3	2	3	8	3	3	3	3	12	1	2	3	0.84	HIGH	Y
Inventory Positioning & Optimization	Autonomous Multi-Echelon Inventory Positioning Engine for Automotive	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	3	3	3	9	3	3	2	2	10	2	2	4	0.84	HIGH	Y
Cost & Value Optimization Initiatives	Integrated COGS Optimization Engine for Automotive Value/COST Reduction	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	2	2	2	6	3	3	3	2	11	3	2	5	0.82	HIGH	Y
Production Schedule Execution & Monitoring	Adaptive, End-to-End Production Scheduling Engine for Automotive Platforms	Plan	Production Planning & Scheduling	DETERMINISTIC	2	2	2	6	3	3	3	3	12	2	2	4	0.82	HIGH	Y
Quality Control & Performance Testing	Autonomous Quality Control Orchestration for COGS & Working Capital	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	2	2	2	6	3	3	3	3	12	2	2	4	0.82	HIGH	Y
Launch Logistics & Distribution Planning	Autonomous Launch Logistics Orchestration for Multi-Echelon Distribution	Plan	New Product Launch Planning	AGENTIC	2	2	2	6	3	3	3	3	12	2	2	4	0.82	HIGH	Y
Line-side Material Delivery	Autonomous Line-Side Material Delivery Engine	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	2	2	3	7	3	3	3	3	12	1	2	3	0.81	HIGH	Y
Constraint Identification & Resolution	Autonomous Constraint Orchestration Engine (ACOE) for Automotive Supply Chain	Plan	Sales & Operations Planning (S&OP)	AGENTIC	3	2	3	8	2	3	3	2	10	2	2	4	0.81	HIGH	Y
Production Planning & Sequencing Integration	Autonomous Production Planning & Sequencing Engine for Vehicle Platforms	Make	Body Shop & Welding	DETERMINISTIC	3	3	3	9	3	3	3	2	11	0	2	2	0.80	HIGH	Y
Tactical Capacity Planning	Autonomous Tactical Capacity Orchestrator for Automotive Build Plans	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	3	3	3	9	3	3	3	2	11	0	2	2	0.80	HIGH	Y
Strategic Network Design & Optimization	Autonomous Strategic Network Optimization Engine for Global Footprint and M&A Alignment	Plan	Supply Network Design & Planning	DETERMINISTIC	2	1	2	5	3	3	3	2	11	3	2	5	0.79	HIGH	Y
Body-In-White (BIW) Assembly Execution	Autonomous BIW Synchronous Scheduling & Replenishment Engine	Make	Body Shop & Welding	DETERMINISTIC	2	1	2	5	3	3	3	3	12	2	2	4	0.78	HIGH	Y
Data & Technology Management for S&OP	Autonomous S&OP Digital Backbone for Ford	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	2	2	2	6	3	3	3	2	11	2	2	4	0.78	HIGH	Y
Capacity Planning & Optimization	Autonomous Capacity Planning & Bottleneck-Driven Production Engine	Plan	Production Planning & Scheduling	AGENTIC	2	2	2	6	3	3	3	3	12	1	2	3	0.78	HIGH	Y
Warranty Performance Monitoring & Analytics	Autonomous Warranty Cost Optimization & Early Warning Engine	Service	Warranty Administration & Claims Management	DETERMINISTIC	3	2	3	8	2	3	2	2	9	2	2	4	0.77	HIGH	Y
Material Handling & Preparation	End-to-End Material Handling Optimization for Automotive Platform Turbine	Make	Stamping Operations	DETERMINISTIC	3	2	3	8	2	3	2	2	9	2	2	4	0.77	HIGH	Y
Production Planning & Scheduling (Stamping)	Autonomous Stamping Production & Capacity Synchronization Engine	Make	Stamping Operations	AGENTIC	3	2	3	8	2	3	3	2	10	1	2	3	0.77	HIGH	Y
Service Parts Inventory Planning & Optimization	Autonomous Service Parts Inventory Orchestrator (ASPIO)	Service	Service Parts Planning & Management	DETERMINISTIC	3	3	3	9	2	2	2	2	8	2	2	4	0.77	HIGH	Y
Master Production Scheduling (MPS)	Autonomous Multi-Scroll MPS Engine for COGS Optimization	Plan	Production Planning & Scheduling	DETERMINISTIC	3	2	3	8	3	3	3	3	12	0	1	1	0.76	HIGH	Y
Service Parts Logistics Operations	Autonomous Service Parts Logistics Orchestration (ASPO) Engine	Move & Fulfill	Transportation Management & Carrier Operations	DETERMINISTIC	3	3	3	9	2	3	3	2	10	0	2	2	0.76	HIGH	Y
Inventory Strategy & Policy Definition	Autonomous Multi-Echelon Inventory Strategy Engine	Plan	Inventory Planning & Optimization	DETERMINISTIC	3	3	3	9	2	3	3	2	10	0	2	2	0.76	HIGH	Y
Service Parts Inventory Planning & Replenishment	Autonomous Service Parts Inventory Replenishment Engine	Move & Fulfill	Service Parts Logistics & Distribution	DETERMINISTIC	3	3	3	9	3	3	3	2	11	0	1	1	0.75	HIGH	Y
Finished Powertrain Logistics & Outbound Preparation	Autonomous Finished Powertrain Logistics Optimizer	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	2	2	2	6	2	3	3	2	10	2	2	4	0.74	HIGH	Y
Strategic Demand Planning & Scenario Modeling	Autonomous Strategic Demand & Scenario Engine for Automotive Portfolio	Plan	Demand Forecasting & Sensing	DETERMINISTIC	2	2	2	6	3	3	3	2	11	1	2	3	0.74	HIGH	Y
Stamping Supplier & Outsource Management	Autonomous Stamping Supply & Production Orchestration for Tier-1 Outsourced Stamping	Make	Stamping Operations	AGENTIC	2	2	2	6	2	3	3	2	10	2	2	4	0.74	HIGH	Y
New Product Introduction & Lifecycle Planning	Autonomous NPI Lifecycle Orchestration & Obsolescence-Aware IBP	Plan	Integrated Business Planning (IBP)	AGENTIC	2	2	2	6	2	3	3	2	10	2	2	4	0.74	HIGH	Y
Material Flow & Inventory Planning for Launch	Autonomous Launch Material Flow & Shortage Recovery Engine	Plan	New Product Launch Planning	DETERMINISTIC	2	2	2	6	2	3	3	2	10	2	2	4	0.74	HIGH	Y
Paint Shop Maintenance & Reliability	Autonomous Paint Shop Maintenance & Spare Parts Optimization Platform	Make	Paint Operations	AGENTIC	2	2	2	6	3	3	2	3	11	1	2	3	0.74	HIGH	Y
Pricing Management	Autonomous Pricing Management Engine for COGS-Driven Pricing	Procure Source & Buy	Contract & Commercial Management	DETERMINISTIC	2	2	2	6	3	3	3	2	11	1	2	3	0.74	HIGH	Y
Logistics Capital Planning & Investment	Autonomous Logistics Capital Optimization Engine	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	2	2	2	6	3	3	2	2	10	2	2	4	0.74	HIGH	Y
Drive Unit Component & Sub-Assembly	Autonomous Drive Unit Component & Sub-Assembly DI Engine	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	2	2	2	6	3	3	3	2	11	1	2	3	0.74	HIGH	Y
New Product Introduction (NPI) Production Planning	Autonomous NPI Production Planning Engine for Ford	Plan	Production Planning & Scheduling	DETERMINISTIC	2	2	2	6	3	3	3	2	11	1	2	3	0.74	HIGH	Y
Transportation Planning & Scheduling	Autonomous End-to-End Transportation Orchestration & Inventory-Delivery Synchronization	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	2	2	2	6	3	3	3	2	11	1	2	3	0.74	HIGH	Y
Manufacturing Anomaly & Issue Resolution	End-to-End Anomaly Resolution Engine for Manufacturing	Make	Powertrain Manufacturing (Engine & Transmission)	AGENTIC	2	2	3	7	3	3	2	3	11	1	1	2	0.73	HIGH	Y
Supply Base Risk & Resilience Management	Autonomous Supply Base Risk & Resilience Engine (ASBRE) across multi-echelon network	Procure Source & Buy	Commodity Management & Market Intelligence	AGENTIC	2	2	3	7	2	3	3	2	10	1	2	3	0.73	HIGH	Y
Constraint & Exception Management	Autonomous Constraint-Driven Production Orchestration & Exception Handling	Plan	Production Planning & Scheduling	AGENTIC	2	2	3	7	3	3	2	3	11	1	1	2	0.73	HIGH	Y
Statistical Demand Modeling & Analytics	Autonomous Demand Modeling & Integrated Forecast Optimization for Automotive Supply Network	Plan	Demand Forecasting & Sensing	DETERMINISTIC	3	2	2	7	3	3	2	2	10	1	2	3	0.73	HIGH	Y
Supplier Collaboration for Inventory Optimization	Autonomous Collaborative Inventory Optimization Engine (ACIOE)	Plan	Inventory Planning & Optimization	AGENTIC	2	2	3	7	2	3	3	2	10	1	2	3	0.73	HIGH	Y
Demand & Supply Data Integration	Autonomous Demand-Supply Data Integration & Orchestration Engine	Plan	Inventory Planning & Optimization	DETERMINISTIC	3	3	3	9	2	2	2	2	8	1	2	3	0.72	HIGH	Y
