l3_name	verdict	groundedness_score	integration_confidence_score	ambiguity_risk_score	implementation_readiness_score	reasons
New Product Introduction (NPI) Network Readiness	ADVANCE	100	100	0	100	Scenario is grounded, integration-aware, and implementation-ready.
Demand Signal Sensing & Adjustment	ADVANCE	80	100	10	91	Scenario is grounded, integration-aware, and implementation-ready.
Returnable Packaging Management	ADVANCE	80	100	10	91	Scenario is grounded, integration-aware, and implementation-ready.
Stamping Supplier & Outsource Management	ADVANCE	80	100	10	91	Scenario is grounded, integration-aware, and implementation-ready.
Supplier Capacity Management	ADVANCE	80	100	10	91	Scenario is grounded, integration-aware, and implementation-ready.
Supply Planning & Production Scheduling	ADVANCE	80	100	10	91	Scenario is grounded, integration-aware, and implementation-ready.
Material Flow & In-Plant Logistics	ADVANCE	75	100	13	89	Scenario is grounded, integration-aware, and implementation-ready.
New Product Introduction (NPI) Demand Forecasting	ADVANCE	75	100	13	89	Scenario is grounded, integration-aware, and implementation-ready.
New Product Introduction (NPI) Production Planning	ADVANCE	75	100	13	89	Scenario is grounded, integration-aware, and implementation-ready.
Production Planning & Material Flow Management	ADVANCE	75	100	13	89	Scenario is grounded, integration-aware, and implementation-ready.
Request for Quote (RFQ) & Bid Management	ADVANCE	75	100	13	89	Scenario is grounded, integration-aware, and implementation-ready.
Service Parts Master Data & Bill of Material (BOM) Management	ADVANCE	75	100	13	89	Scenario is grounded, integration-aware, and implementation-ready.
Vehicle & Part Order Allocation	ADVANCE	75	100	13	89	Scenario is grounded, integration-aware, and implementation-ready.
Exception & Non-Conformance Management	ADVANCE	71	100	14	87	Scenario is grounded, integration-aware, and implementation-ready.
Line-side Material Delivery	ADVANCE	71	100	14	87	Scenario is grounded, integration-aware, and implementation-ready.
Logistics Technology & Data Management	ADVANCE	71	100	14	87	Scenario is grounded, integration-aware, and implementation-ready.
New Program & Lifecycle S&OP Integration	ADVANCE	71	100	14	87	Scenario is grounded, integration-aware, and implementation-ready.
OTA Software Deployment & Management	ADVANCE	71	100	14	87	Scenario is grounded, integration-aware, and implementation-ready.
Parts Supply Chain & Logistics Coordination	ADVANCE	71	100	14	87	Scenario is grounded, integration-aware, and implementation-ready.
PO Performance Analysis & Continuous Improvement	ADVANCE	71	100	14	87	Scenario is grounded, integration-aware, and implementation-ready.
Production Quality Control & Assurance	ADVANCE	71	100	14	87	Scenario is grounded, integration-aware, and implementation-ready.
Commercial Change Management	ADVANCE	67	100	17	85	Scenario is grounded, integration-aware, and implementation-ready.
Constraint & Exception Management	ADVANCE	67	100	17	85	Scenario is grounded, integration-aware, and implementation-ready.
Constraint Identification & Resolution	ADVANCE	67	100	17	85	Scenario is grounded, integration-aware, and implementation-ready.
Contract Management & Lifecycle	ADVANCE	67	100	17	85	Scenario is grounded, integration-aware, and implementation-ready.
Executive S&OP / IBP Review & Decision Making	ADVANCE	67	100	17	85	Scenario is grounded, integration-aware, and implementation-ready.
Inbound Logistics Exception Management	ADVANCE	67	100	17	85	Scenario is grounded, integration-aware, and implementation-ready.
