skill_id	skill_name	l4_name	l1_name	l2_name	composite	archetype	confidence	verdict	implementation_readiness_score	groundedness_score	integration_confidence_score	ambiguity_risk_score	reasons	is_cross_functional
78a1fd-82a38d	DRP Adjustment Orchestration	Drp Adjustment And Str Release	Plan	Tactical Supply Planning	0.96	AGENTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
75eea5-f8ee76	Drp Results Optimization	Create Drp Planned Volumes	Plan	Tactical Supply Planning	0.95	AGENTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
8e0064-8c4807	Safety Stock Sensitivity Optimizer	Analyse Impact of Change In Safety Stock	Plan	Sales & Operations Planning	0.95	DETERMINISTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
a2ea0f-d24887	Risk-Based Inventory Coverage	Identify Potential Risks	Source & Procure	Risk & Resiliency	0.95	AGENTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
d98747-dba8a9	Optimize Category Innovation Profit	Analyse & Validate Innovation Initiatives	Source & Procure	Category Management	0.93	DETERMINISTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
5f0a16-5f2dd9	Automated Spot Buy Negotiation Routing	Manage Negotiations	Source & Procure	Order to "Ok To Pay"	0.91	AGENTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
8c7c47-62a922	Collaborative Supplier Agreement orchestrator	form Collaboration Agreement With Suppliers	Source & Procure	Category Management	0.91	AGENTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
f3e078-248660	Evaluate Data Significance for SD Drivers	Assess Data	Plan	Forecast Analytics	0.91	DETERMINISTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
vf-5100d701	Automated Channel Margin Coordination	Automated Channel Margin Coordination	Cross-Functional	Value Flow	0.90	DETERMINISTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	Y
753011-a1a0d9	Portfolio Slow-Moving SKU Reinvestment	Review Slow Moving SKU	Plan	Sales & Operations Planning	0.89	DETERMINISTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
285e9d-818c28	Supplier Conflict-Resolution Optimizer	Manage Supply Exceptions	Plan	Sales & Operations Execution	0.88	DETERMINISTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
a2e25c-cfa20e	Supplier Call-Off Consolidation	Adjust Purchase Orders	Plan	Operational Supply Planning	0.88	DETERMINISTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
bf56cc-add07a	Autonomous Planning Data Review	Suggest And Monitor Changes	Plan	Supply Strategy & Analytics	0.84	AGENTIC	MEDIUM	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
597355-2738c6	Understand Demand & Spend Initiatives	Understand Business Goals & Current Plans	Source & Procure	Demand Planning for Source & Procure	0.79	DETERMINISTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
872000-2fc5ce	Automated LSP Performance Optimization	Monitor & Report Supplier Performance	Fulfill	Logistics Service Provider (LSP) Selection and Management	0.79	AGENTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
