tier	l3_name	l1_name	l2_name	lead_archetype	quick_win	combined_max_value	flag_count	flags	is_cross_functional
1	Cross-Functional: Finance + Plan + Make + Sell + Marketing	Cross-Functional	Value Flow	DETERMINISTIC	N	650000000	0		Y
1	Cross-Functional: Make + Finance + Sell + Plan	Cross-Functional	Value Flow	DETERMINISTIC	N	560000000	0		Y
1	Cross-Functional: Make + Fulfill + Plan	Cross-Functional	Value Flow	DETERMINISTIC	N	560000000	0		Y
1	Cross-Functional: Fulfill + Finance + Plan	Cross-Functional	Value Flow	DETERMINISTIC	N	520000000	0		Y
1	Cross-Functional: Customer + Fulfill + Sell + Deliver	Cross-Functional	Value Flow	DETERMINISTIC	N	520000000	0		Y
1	Cross-Functional: Make + Sell + Deliver + Plan	Cross-Functional	Value Flow	DETERMINISTIC	N	520000000	0		Y
1	Cross-Functional: Make + Finance + Sell + Plan	Cross-Functional	Value Flow	DETERMINISTIC	N	520000000	0		Y
1	Cross-Functional: Make + Fulfill + Sell + Plan	Cross-Functional	Value Flow	DETERMINISTIC	N	500000000	0		Y
1	Cross-Functional: Finance + Customer + Sell	Cross-Functional	Value Flow	DETERMINISTIC	N	500000000	0		Y
1	Strategic Demand Planning & Scenario Modeling	Plan	Demand Forecasting & Sensing	DETERMINISTIC	N	475302000	0		N
1	Freight Planning & Network Optimization	Move & Fulfill	Transportation Management & Carrier Operations	DETERMINISTIC	N	475302000	0		N
1	Cross-Functional: Fulfill + Sell + Deliver + Plan	Cross-Functional	Value Flow	DETERMINISTIC	N	420000000	0		Y
1	Logistics Capacity Planning	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	210000000	0		N
1	Transportation Strategy & Mode Optimization	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	N	180000000	0		N
1	Financial Integration & Profitability Analysis	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	158000000	0		N
1	New Program & Lifecycle S&OP Integration	Plan	Sales & Operations Planning (S&OP)	AGENTIC	N	158000000	0		N
1	Non-Conformance Management & Containment	Make	Quality Control & In-Process Inspection	AGENTIC	N	156000000	0		N
1	Regulatory & Trade Policy Compliance	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	N	150000000	0		N
1	Cross-Functional: Plan + Make +  Procure Source & Buy	Cross-Functional	Toc	DETERMINISTIC	N	150000000	0		Y
1	Constraint Identification & Resolution	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	140000000	0		N
1	Launch Logistics & Distribution Planning	Plan	New Product Launch Planning	DETERMINISTIC	N	140000000	0		N
1	Contract & Agreement Management (Post-Award)	Procure Source & Buy	Procurement Operations & Compliance	DETERMINISTIC	N	120000000	0		N
1	Transportation Planning & Scheduling	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	120000000	0		N
1	Contract & Agreement Management (Post-Award)	Procure Source & Buy	Procurement Operations & Compliance	DETERMINISTIC	N	100000000	0		N
1	Production Planning Governance & Strategy	Plan	Production Planning & Scheduling	DETERMINISTIC	N	95000000	0		N
1	Manufacturing Engineering & Process Optimization	Make	Trim Chassis & Final Assembly	AGENTIC	N	90000000	0		N
1	Supplier Relationship Management (Operational & Strategic)	Procure Source & Buy	Procurement Operations & Compliance	DETERMINISTIC	N	90000000	0		N
1	Order to Production Scheduling Integration	Move & Fulfill	Order Management & Fulfillment	AGENTIC	N	90000000	0		N
1	Indirect Spend Analytics & Optimization	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	N	88000000	0		N
1	Supply Chain Capacity Planning	Plan	Supply Network Design & Planning	DETERMINISTIC	N	86000000	0		N
1	Supplier Capacity Management	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	85000000	0		N
1	Industrial Engineering & Efficiency	Make	Production Support Services	DETERMINISTIC	N	75000000	0		N
1	Inbound Logistics Network Design & Optimization	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	N	75000000	0		N
1	Emergency & Escalation Management	Service	Recall & Field Service Action Management	AGENTIC	N	75000000	0		N
1	New Product Introduction (NPI) Production Planning	Plan	Production Planning & Scheduling	DETERMINISTIC	N	72000000	0		N
1	Launch Risk & Issue Management	Plan	New Product Launch Planning	DETERMINISTIC	N	70000000	0		N
1	In-Transit Visibility & Exception Management	Move & Fulfill	Outbound Vehicle Logistics & Distribution	AGENTIC	N	70000000	0		N
1	Carrier Performance & Relationship Management	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	65000000	0		N
1	Master Production Scheduling (MPS)	Plan	Production Planning & Scheduling	AGENTIC	N	60000000	0		N
1	Supplier Capacity Management	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	60000000	0		N
1	Supply Chain Capacity Planning	Plan	Supply Network Design & Planning	DETERMINISTIC	N	60000000	0		N
1	Quality Assurance & Control (Stamping)	Make	Stamping Operations	AGENTIC	N	60000000	0		N
1	Manufacturing Engineering & Process Development	Make	Production Support Services	DETERMINISTIC	N	60000000	0		N
1	Inbound Logistics Network Design & Optimization	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	N	60000000	0		N
1	Carrier Performance & Relationship Management	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	60000000	0		N
1	Transportation Strategy & Mode Optimization	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	N	60000000	0		N
1	Stamping Supplier & Outsource Management	Make	Stamping Operations	AGENTIC	N	54000000	0		N
1	Capacity Planning & Optimization	Plan	Production Planning & Scheduling	DETERMINISTIC	N	52000000	0		N
1	Supply Chain Capacity Planning	Plan	Supply Network Design & Planning	AGENTIC	N	52000000	0		N
1	Supply Chain Capacity Planning	Plan	Supply Network Design & Planning	AGENTIC	N	52000000	0		N
1	Compliance & Trade Regulations Planning	Plan	Supply Network Design & Planning	DETERMINISTIC	N	52000000	0		N
1	Manufacturing Systems & IT Support	Make	Production Support Services	DETERMINISTIC	N	52000000	0		N
1	Manufacturing Systems & IT Support	Make	Production Support Services	DETERMINISTIC	N	52000000	0		N
1	Regulatory & Trade Policy Compliance	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	N	50000000	0		N
1	Cross-Functional: Plan + Plan / Market & Economic Intelligence	Cross-Functional	Toc	AGENTIC	N	50000000	0		Y
1	Constraint Identification & Resolution	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	48000000	0		N
1	New Process Development & Standardization	Make	Manufacturing Engineering & Process Design	DETERMINISTIC	N	48000000	0		N
1	Purchase Order (PO) Management	Procure Source & Buy	Procurement Operations & Compliance	AGENTIC	N	48000000	0		N
1	Third-Party & Supplier Management	Service	Extended Service Plans & Maintenance Programs	AGENTIC	N	46000000	0		N
1	Powertrain Assembly & Sub-Assembly	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	N	45000000	0		N
1	Line-side Material Delivery	Move & Fulfill	Inbound Logistics & Material Flow	AGENTIC	N	45000000	0		N
1	Transportation Planning & Scheduling	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	45000000	0		N
1	Order Fulfillment Performance Reporting & Analytics	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	N	45000000	0		N
1	Service Parts Inventory Planning & Optimization	Service	Service Parts Planning & Management	AGENTIC	N	45000000	0		N
1	Labor & Skills Capacity Planning	Plan	Capacity Planning & Constraint Management	AGENTIC	N	44853000	0		N
1	Service Parts Inventory Management	Plan	Inventory Planning & Optimization	DETERMINISTIC	N	44853000	0		N
1	Strategic Network Design & Optimization	Plan	Supply Network Design & Planning	DETERMINISTIC	N	44853000	0		N
1	Capacity & Resource Planning	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	N	44853000	0		N
1	Tooling & Capital Equipment PO Management	Procure Source & Buy	Purchase Order Management & Execution	AGENTIC	N	44853000	0		N
1	Supply Base Risk & Resilience Management	Procure Source & Buy	Commodity Management & Market Intelligence	AGENTIC	N	44853000	0		N
1	Receiving & Putaway Operations	Move & Fulfill	Inbound Logistics & Material Flow	AGENTIC	N	44853000	0		N
1	Warehouse & Inventory Management	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	N	44853000	0		N
1	Warehouse Performance & Continuous Improvement	Move & Fulfill	Warehouse & Distribution Center Operations	AGENTIC	N	44853000	0		N
1	Customer Order Modification & Cancellation	Move & Fulfill	Order Management & Fulfillment	AGENTIC	N	44853000	0		N
1	Inventory Positioning & Optimization	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	N	44853000	0		N
1	Supply Planning & Production Scheduling	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	N	42000000	0		N
1	Continuous Improvement & Process Optimization	Make	Body Shop & Welding	DETERMINISTIC	N	42000000	0		N
1	Paint Material Management	Make	Paint Operations	AGENTIC	N	42000000	0		N
1	Powertrain Assembly & Sub-Assembly	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	N	42000000	0		N
1	Plant Maintenance & Asset Management	Make	Powertrain Manufacturing (Engine & Transmission)	AGENTIC	N	42000000	0		N
1	Raw Material & Component Receipt & Kitting	Make	Electric Vehicle Battery & Drive Unit Production	AGENTIC	N	42000000	0		N
1	Raw Material & Component Receipt & Kitting	Make	Electric Vehicle Battery & Drive Unit Production	AGENTIC	N	42000000	0		N
1	Order Fulfillment & Picking	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	N	42000000	0		N
1	Warranty Policy & Program Development	Service	Warranty Administration & Claims Management	DETERMINISTIC	N	42000000	0		N
1	Market & Economic Intelligence Gathering	Plan	Demand Forecasting & Sensing	DETERMINISTIC	N	40000000	0		N
1	Statistical Demand Modeling & Analytics	Plan	Demand Forecasting & Sensing	DETERMINISTIC	N	40000000	0		N
1	Master Production Scheduling (MPS)	Plan	Production Planning & Scheduling	DETERMINISTIC	N	40000000	0		N
1	Material Requirements Planning (MRP) Integration	Plan	Production Planning & Scheduling	DETERMINISTIC	N	40000000	0		N
1	Capacity Planning & Optimization	Plan	Production Planning & Scheduling	DETERMINISTIC	N	40000000	0		N
1	Internal Manufacturing Capacity Analysis	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	40000000	0		N
1	Labor & Skills Capacity Planning	Plan	Capacity Planning & Constraint Management	AGENTIC	N	40000000	0		N
1	Launch Risk & Issue Management	Plan	New Product Launch Planning	AGENTIC	N	40000000	0		N
1	Inventory & Working Capital Optimization	Plan	Integrated Business Planning (IBP)	AGENTIC	N	40000000	0		N
1	Body-In-White (BIW) Assembly Execution	Make	Body Shop & Welding	DETERMINISTIC	N	40000000	0		N
1	Paint Process Engineering & Optimization	Make	Paint Operations	DETERMINISTIC	N	40000000	0		N
1	Maintenance & Asset Management	Make	Trim Chassis & Final Assembly	DETERMINISTIC	N	40000000	0		N
1	Maintenance Strategy & Planning	Make	Plant Maintenance & Reliability	AGENTIC	N	40000000	0		N
1	Manufacturing Engineering & Process Development	Make	Production Support Services	DETERMINISTIC	N	40000000	0		N
1	Manufacturing Systems & IT Support	Make	Production Support Services	DETERMINISTIC	N	40000000	0		N
1	Manufacturing Systems & IT Support	Make	Production Support Services	AGENTIC	N	40000000	0		N
1	Supplier Quality Strategy & Governance	Procure Source & Buy	Supplier Quality Management	AGENTIC	N	40000000	0		N
1	Indirect Supplier Qualification & Selection	Procure Source & Buy	Indirect Procurement	AGENTIC	N	40000000	0		N
1	Dealer & Customer Delivery Operations	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	40000000	0		N
1	Order Fulfillment & Picking	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	N	40000000	0		N
1	Trade Compliance & International Logistics	Move & Fulfill	Customs	DETERMINISTIC	N	40000000	0		N
1	Order Fulfillment Performance Reporting & Analytics	Move & Fulfill	Order Management & Fulfillment	AGENTIC	N	40000000	0		N
1	Transportation Strategy & Mode Optimization	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	N	40000000	0		N
1	Warehouse & Distribution Center Network Management	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	N	40000000	0		N
1	Service Parts Performance Management & Continuous Improvement	Service	Service Parts Planning & Management	AGENTIC	N	40000000	0		N
1	Statistical Demand Modeling & Analytics	Plan	Demand Forecasting & Sensing	AGENTIC	N	38358000	0		N
1	Production Planning Governance & Strategy	Plan	Production Planning & Scheduling	AGENTIC	N	38358000	0		N
1	Strategic Network Design & Optimization	Plan	Supply Network Design & Planning	DETERMINISTIC	N	38358000	0		N
1	Strategic Network Design & Optimization	Plan	Supply Network Design & Planning	DETERMINISTIC	N	38358000	0		N
1	Strategic Network Design & Optimization	Plan	Supply Network Design & Planning	DETERMINISTIC	N	38358000	0		N
1	Strategic Network Design & Optimization	Plan	Supply Network Design & Planning	DETERMINISTIC	N	38358000	0		N
