rank	l4_id	l4_name	l3_name	l2_name	l1_name	financial_signal	ai_suitability	decision_density	impact_order	rating_confidence	archetype_completeness	composite	survived	elimination_reason	red_flags	skill_count	aggregated_max_value
1	d3da30eb49f2	Manage Purchase Order Changes & Approvals	Conduct Transactional Procurement	Order to "Ok To Pay"	Source & Procure	1.0000	1.0000	0.8500	1.0000	1.0000	0.8571	0.9414	Y			2	21465000
2	b60144f8d799	Physically Receive And Inspect Goods Or Services	Receive Goods & Services	Order to "Ok To Pay"	Source & Procure	1.0000	1.0000	0.7500	1.0000	1.0000	0.9286	0.9357	Y			2	20000000
3	d8faf5fc2215	Review Unfulfilled Demand	Monitor Performance and Handle Exceptions	Sales & Operations Execution	Plan	1.0000	1.0000	0.8000	1.0000	1.0000	0.8571	0.9314	Y			2	27000000
4	18d2bf7b863b	Determine And Simulate Scenarios	Conduct Supply Scenario Planning	Tactical Supply Planning	Plan	1.0000	1.0000	0.6500	1.0000	1.0000	1.0000	0.9300	Y			1	12000000
5	78a1fd1b3b61	Drp Adjustment And Str Release	Conduct Distribution Requirements Planning	Tactical Supply Planning	Plan	1.0000	1.0000	0.6250	1.0000	1.0000	1.0000	0.9250	Y			1	17703000
6	75301119f9dc	Review Slow Moving SKU	Prepare and Conduct Portfolio Review	Sales & Operations Planning	Plan	1.0000	1.0000	0.6250	1.0000	1.0000	1.0000	0.9250	Y			1	3762000
7	59735592bf9e	Understand Business Goals & Current Plans	Identify and Implement Demand Initiatives	Demand Planning for Source & Procure	Source & Procure	1.0000	1.0000	0.6000	1.0000	1.0000	1.0000	0.9200	Y			1	2000000
8	f22996f8fbf6	Conduct Tactical Sourcing Event	Execute Tactical Sourcing	Sourcing	Source & Procure	1.0000	1.0000	0.7000	1.0000	1.0000	0.8571	0.9114	Y			1	17703000
9	3c579cd7eb89	Conduct Rfx, Rfp Or Auction	Execute Sourcing	Sourcing	Source & Procure	1.0000	1.0000	0.7000	1.0000	1.0000	0.8571	0.9114	Y			1	6000000
10	6ee917a52b9a	Manage Negotiations	Author Contract	Contract Management	Source & Procure	1.0000	1.0000	0.7000	1.0000	1.0000	0.8571	0.9114	Y			1	6000000
11	87200075b4bf	Monitor & Report Supplier Performance	Monitor LSP Spend & Contract Compliance	Logistics Service Provider (LSP) Selection and Management	Fulfill	1.0000	1.0000	0.7000	1.0000	1.0000	0.8571	0.9114	Y			1	6000000
12	59d45a09c32a	Manage Stress Testing & Digital Twins	Manage Resilience Procurement	Risk & Resiliency	Source & Procure	1.0000	1.0000	0.7000	1.0000	1.0000	0.8571	0.9114	Y			1	3762000
13	285e9d0a7334	Manage Supply Exceptions	Monitor Performance and Handle Exceptions	Sales & Operations Execution	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	Y			1	12000000
14	37a91ea3a26c	Create Receipt of Goods Or Services	Receive Goods & Services	Order to "Ok To Pay"	Source & Procure	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	Y			1	3762000
15	7484cee93afc	Classify Products	Manage Import / Export	Global Trade Management	Fulfill	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	Y			1	3500000
16	89ff8be7bcf2	Manage Product Import/Export Valuation	Manage Import / Export	Global Trade Management	Fulfill	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	Y			1	3000000
17	08680c2d9b9a	Set Up & Manage Global Trade Master Data	Manage Trade Compliance	Global Trade Management	Fulfill	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	Y			1	2500000
18	2a146ea0f667	Select Supplier	Execute Spot Buy	Order to "Ok To Pay"	Source & Procure	1.0000	1.0000	0.6500	1.0000	1.0000	0.8571	0.9014	Y			1	17703000
19	a34ce38534de	Maintain Critical Material Data	Manage Supply Planning Data	Supply Strategy & Analytics	Plan	1.0000	1.0000	0.6500	1.0000	1.0000	0.8571	0.9014	Y			1	17703000
20	a2e25c2bd788	Adjust Purchase Orders	Execute Material Call off	Operational Supply Planning	Plan	1.0000	1.0000	0.6500	1.0000	1.0000	0.8571	0.9014	Y			1	6000000
21	a0259e77195c	Create Purchase Order	Conduct Transactional Procurement	Order to "Ok To Pay"	Source & Procure	1.0000	1.0000	0.6500	1.0000	1.0000	0.8571	0.9014	Y			1	1500000
22	6f7498114264	Review SKU Segmentation Rules	Conduct Volume to Value Planning	Sales & Operations Planning	Plan	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	Y			1	7000000
23	75eea5e9c9dd	Create Drp Planned Volumes	Conduct Distribution Requirements Planning	Tactical Supply Planning	Plan	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	Y			1	6000000
24	0199b6e731bc	Determine Best Model & Algorithm	Define Statistical Forecast Model	Forecast Analytics	Plan	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	Y			1	5000000
25	821c78433813	Manage N-Tier Supplier Mapping & Visibility	Manage Resilience Procurement	Risk & Resiliency	Source & Procure	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	Y			1	3762000
26	8e0064463d4e	Analyse Impact of Change In Safety Stock	Manage Integrated Scenarios	Sales & Operations Planning	Plan	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	Y			1	3762000
27	a2ea0f932317	Identify Potential Risks	Manage Risk Segmentation & Assessment	Risk & Resiliency	Source & Procure	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	Y			1	3762000
28	d98747764b64	Analyse & Validate Innovation Initiatives	Manage Category Innovation	Category Management	Source & Procure	1.0000	0.5000	0.7750	1.0000	1.0000	0.8571	0.8514	Y			2	7524000
29	c1e53820084f	Perform Feasibility Check	Review Supply Capability	Tactical Supply Planning	Plan	1.0000	0.5000	0.6250	1.0000	1.0000	1.0000	0.8500	Y			1	17703000
30	vf-d711e034	Automated Demand-Promising Coordination	Cross-Functional: Fulfill + Sell + Deliver + Customer	Value Flow	Cross-Functional	1.0000	0.5000	0.7000	1.0000	1.0000	0.8571	0.8364	Y			1	24000000
31	f0d9d871c6f2	Assess Sourcing Opportunity	Develop Sourcing Profile & Strategy	Sourcing	Source & Procure	1.0000	0.5000	0.6500	1.0000	1.0000	0.8571	0.8264	Y			1	4000000
32	3b24cf9b813b	Analyse Impact of Increase In Demand	Manage Integrated Scenarios	Sales & Operations Planning	Plan	1.0000	0.5000	0.6250	1.0000	1.0000	0.8571	0.8214	Y			1	15000000
33	5f0a161ad72d	Manage Negotiations	Execute Spot Buy	Order to "Ok To Pay"	Source & Procure	1.0000	0.5000	0.6250	1.0000	1.0000	0.8571	0.8214	Y			1	12000000
34	7b3540722b7b	Assess Data for Segmentation	Define Demand Segmentation	Forecast Analytics	Plan	1.0000	0.5000	0.6250	1.0000	1.0000	0.8571	0.8214	Y			1	12000000
35	8c7c47aec8e6	form Collaboration Agreement With Suppliers	Manage Category Innovation	Category Management	Source & Procure	1.0000	0.5000	0.6250	1.0000	1.0000	0.8571	0.8214	Y			1	8000000
36	7ebb9bf1d765	Gather Market Inputs	Define Ml Forecast Model	Forecast Analytics	Plan	1.0000	0.5000	0.6250	1.0000	1.0000	0.8571	0.8214	Y			1	6000000
37	bf56ccdcb3b3	Suggest And Monitor Changes	Manage Supply Planning Data	Supply Strategy & Analytics	Plan	1.0000	0.5000	0.6250	1.0000	1.0000	0.8571	0.8214	Y			1	6000000
38	a98d7b9f45fd	Implement Results of Assessment	Define Demand Segmentation	Forecast Analytics	Plan	1.0000	0.5000	0.6250	1.0000	1.0000	0.8571	0.8214	Y			1	3762000
39	a12e86627c80	Review of Production Capacity	Review Supply Capability	Tactical Supply Planning	Plan	1.0000	0.5000	0.6000	1.0000	1.0000	0.8571	0.8164	Y			1	5000000
40	0f137d085c96	Determine New Features and Update Process	Define Ml Forecast Model	Forecast Analytics	Plan	1.0000	0.5000	0.6000	1.0000	1.0000	0.8571	0.8164	Y			1	4000000
41	f3e078f3e361	Assess Data	Define Ml Forecast Model	Forecast Analytics	Plan	1.0000	0.5000	0.6000	1.0000	1.0000	0.8571	0.8164	Y			1	4000000
42	cf-8723a10a	Integrated Demand-Driven Sourcing	Cross-Functional: Plan + Source	Cross Functional	Cross-Functional	1.0000	0.5000	0.7250	1.0000	1.0000	0.7143	0.8129	Y			1	24000000
43	cf-24ef36c5	Automated Demand-Constrained Production Scheduling	Cross-Functional: Plan + Make + Source	Cross Functional	Cross-Functional	1.0000	0.5000	0.7250	1.0000	1.0000	0.7143	0.8129	Y			1	21000000
44	vf-5100d701	Automated Channel Margin Coordination	Cross-Functional: Finance + Sell + Customer	Value Flow	Cross-Functional	1.0000	0.5000	0.7000	1.0000	1.0000	0.7143	0.8079	Y			1	26000000
45	cf-e6d602b4	Automated Demand-Supply Scenario Coordination	Cross-Functional: Plan + Source	Cross Functional	Cross-Functional	1.0000	0.5000	0.7000	1.0000	1.0000	0.7143	0.8079	Y			1	24000000
46	vf-072c847e	Automated Regional Demand Rebalancing	Cross-Functional: Plan + Fulfill + Sell + Deliver	Value Flow	Cross-Functional	1.0000	0.5000	0.7000	1.0000	1.0000	0.7143	0.8079	Y			1	22000000
47	vf-0ba5d586	Automated Cross-Functional OTIF-Driven Fulfillment Tradeoff	Cross-Functional: Fulfill + Sell + Finance	Value Flow	Cross-Functional	1.0000	0.5000	0.7000	1.0000	1.0000	0.7143	0.8079	Y			1	21000000
48	vf-3654664e	Automated Safety Stock Coordination Across Planning and Fulfillment	Cross-Functional: Fulfill + Plan + Finance	Value Flow	Cross-Functional	1.0000	0.5000	0.7000	1.0000	1.0000	0.7143	0.8079	Y			1	21000000
49	cf-999807ae	Synchronized ATP/CTP with Supplier Readiness	Cross-Functional: Fulfill + Source & Procure	Cross Functional	Cross-Functional	1.0000	0.5000	0.6750	1.0000	1.0000	0.7143	0.8029	Y			1	21000000
50	cf-820d2938	Cross-Domain Demand-Driven Sequencing	Cross-Functional: Plan + Fulfill	Cross Functional	Cross-Functional	1.0000	0.5000	0.7000	1.0000	1.0000	0.5714	0.7793	Y			1	21000000
51	50c6ec13c6a1	Manage Warehouse Operations Tools/Platforms	Develop Digital & Automation Strategy	Fulfilment Strategy	Fulfill	0.5000	0.5000	0.7000	1.0000	1.0000	1.0000	0.7400	N			1	3762000
52	cf-toc-cdb3eb92	Policy-Aligned Supplier Flow Control	Cross-Functional: Procurement + Inventory + Finance	Toc	Cross-Functional	1.0000	1.0000	0.5000	1.0000	1.0000	0.1429	0.7286	N			1	9000000
